aa_eleicao;nm_pais;nm_regiao;sg_uf;nm_municipio;ds_tipo_deficiencia;qt_eleitor_apto;qt_eleitor_comp;qt_eleitor_abstencao
2022;Brasil;NORTE;AC;MÂNCIO LIMA;DEFICIÊNCIA VISUAL;29;22;7
2022;Brasil;NORTE;AC;MÂNCIO LIMA;OUTROS;76;57;19
2022;Brasil;NORTE;AC;PLÁCIDO DE CASTRO;DEFICIÊNCIA AUDITIVA;10;6;4
2022;Brasil;NORTE;AC;PLÁCIDO DE CASTRO;DEFICIÊNCIA DE LOCOMOÇÃO;15;9;6
2022;Brasil;NORTE;AC;PLÁCIDO DE CASTRO;DEFICIÊNCIA VISUAL;19;14;5
2022;Brasil;NORTE;AC;PLÁCIDO DE CASTRO;DIFICULDADE PARA O EXERCÍCIO DO VOTO;1;0;1
2022;Brasil;NORTE;AC;PLÁCIDO DE CASTRO;OUTROS;56;41;15
2022;Brasil;NORTE;AC;PORTO ACRE;DEFICIÊNCIA AUDITIVA;17;9;8
2022;Brasil;NORTE;AC;PORTO ACRE;DEFICIÊNCIA DE LOCOMOÇÃO;28;23;5
2022;Brasil;NORTE;AC;PORTO ACRE;DEFICIÊNCIA VISUAL;23;11;12
2022;Brasil;NORTE;AC;PORTO ACRE;OUTROS;84;62;22
2022;Brasil;NORTE;AC;PORTO WALTER;DEFICIÊNCIA AUDITIVA;3;3;0
2022;Brasil;NORTE;AC;PORTO WALTER;DEFICIÊNCIA DE LOCOMOÇÃO;5;3;2
2022;Brasil;NORTE;AC;PORTO WALTER;DEFICIÊNCIA VISUAL;1;1;0
2022;Brasil;NORTE;AC;PORTO WALTER;DIFICULDADE PARA O EXERCÍCIO DO VOTO;1;0;1
2022;Brasil;NORTE;AC;PORTO WALTER;OUTROS;5;5;0
2022;Brasil;NORTE;AC;RIO BRANCO;DEFICIÊNCIA AUDITIVA;188;134;54
2022;Brasil;NORTE;AC;RIO BRANCO;DEFICIÊNCIA DE LOCOMOÇÃO;369;239;130
2022;Brasil;NORTE;AC;RIO BRANCO;DEFICIÊNCIA VISUAL;265;151;114
2022;Brasil;NORTE;AC;RIO BRANCO;DIFICULDADE PARA O EXERCÍCIO DO VOTO;33;5;28
2022;Brasil;NORTE;AC;RIO BRANCO;OUTROS;662;425;237
2022;Brasil;NORTE;AC;RODRIGUES ALVES;DEFICIÊNCIA AUDITIVA;20;12;8
2022;Brasil;NORTE;AC;RODRIGUES ALVES;DEFICIÊNCIA DE LOCOMOÇÃO;14;12;2
2022;Brasil;NORTE;AC;RODRIGUES ALVES;DEFICIÊNCIA VISUAL;13;9;4
2022;Brasil;NORTE;AC;RODRIGUES ALVES;OUTROS;43;30;13
2022;Brasil;NORTE;AC;SANTA ROSA DO PURUS;DEFICIÊNCIA AUDITIVA;1;1;0
2022;Brasil;NORTE;AC;SANTA ROSA DO PURUS;DEFICIÊNCIA DE LOCOMOÇÃO;1;1;0
2022;Brasil;NORTE;AC;SANTA ROSA DO PURUS;OUTROS;7;3;4
2022;Brasil;NORTE;AC;SENA MADUREIRA;DEFICIÊNCIA AUDITIVA;25;14;11
2022;Brasil;NORTE;AC;SENA MADUREIRA;DEFICIÊNCIA DE LOCOMOÇÃO;30;21;9
2022;Brasil;NORTE;AC;SENA MADUREIRA;DEFICIÊNCIA VISUAL;36;21;15
