cd_municipio;nm_municipio;nr_turno;qt_secoes_agregadas;qt_aptos_tot;qt_comparecimento;qt_votos_nom_validos;qt_votos_brancos;qt_total_vt_leg_validos;qt_total_votos_anulados;qt_votos_validos;qt_votos;qt_total_votos_nulos
62855;CAJAMAR;1;0;67967;54245;51260;1209;0;0;51260;54245;1776
62871;CAJOBI;1;0;7842;6038;5759;112;0;0;5759;6038;167
62898;CAJURU;1;0;19306;14452;13622;321;0;0;13622;14452;509
62910;CAMPINAS;1;8;881377;688269;653539;12347;0;0;653539;688269;22383
62936;CAMPO LIMPO PAULISTA;1;0;61518;48306;45342;1080;0;0;45342;48306;1884
62952;CAMPOS DO JORDÃO;1;1;39846;29464;27579;865;0;0;27579;29464;1020
62979;CAMPOS NOVOS PAULISTA;1;0;3795;2895;2802;50;0;0;2802;2895;43
62995;CANANÉIA;1;7;9926;7702;7360;135;0;0;7360;7702;207
63010;CÂNDIDO MOTA;1;0;24697;18647;17659;437;0;0;17659;18647;551
63037;CÂNDIDO RODRIGUES;1;0;2573;2005;1898;56;0;0;1898;2005;51
63053;CAPÃO BONITO;1;3;36479;27504;25905;827;0;0;25905;27504;772
63070;CAPELA DO ALTO;1;0;14894;11581;10895;364;0;0;10895;11581;322
63096;CAPIVARI;1;1;39229;30738;29042;661;0;0;29042;30738;1035
63118;CARAGUATATUBA;1;2;105485;80815;76580;1682;0;0;76580;80815;2553
63134;CARAPICUÍBA;1;0;300528;235328;221422;5642;0;0;221422;235328;8264
63150;CARDOSO;1;0;10218;7121;6789;108;0;0;6789;7121;224
63177;CASA BRANCA;1;0;20835;15282;14410;407;0;0;14410;15282;465
63193;CÁSSIA DOS COQUEIROS;1;0;2813;2044;1910;41;0;0;1910;2044;93
63215;CASTILHO;1;0;15730;11977;11506;192;0;0;11506;11977;279
63231;CATANDUVA;1;0;87973;69360;65531;1368;0;0;65531;69360;2461
63258;CATIGUÁ;1;0;5823;4730;4380;95;0;0;4380;4730;255
63274;CEDRAL;1;0;7697;6114;5834;109;0;0;5834;6114;171
63290;CERQUEIRA CÉSAR;1;0;16032;11549;10880;318;0;0;10880;11549;351
63312;CERQUILHO;1;0;36775;28557;26711;723;0;0;26711;28557;1123
63339;CESÁRIO LANGE;1;0;13963;10575;9555;415;0;0;9555;10575;605
63355;CHARQUEADA;1;1;13297;10412;9899;216;0;0;9899;10412;297
63371;CHAVANTES;1;0;8771;7317;6941;153;0;0;6941;7317;223
63398;CLEMENTINA;1;0;5522;4352;4166;59;0;0;4166;4352;127
63410;COLINA;1;0;15008;11171;10624;215;0;0;10624;11171;332
63436;COLÔMBIA;1;0;5830;4278;4121;40;0;0;4121;4278;117
63452;CONCHAL;1;0;22058;17704;16749;485;0;0;16749;17704;470
63479;CONCHAS;1;0;13757;9781;9307;219;0;0;9307;9781;255
63495;CORDEIRÓPOLIS;1;0;19833;15752;14965;309;0;0;14965;15752;478
63517;COROADOS;1;0;4180;3336;3216;49;0;0;3216;3336;71
63533;CORONEL MACEDO;1;0;3831;3141;2997;61;0;0;2997;3141;83
63550;CORUMBATAÍ;1;0;3516;2758;2587;52;0;0;2587;2758;119
63576;COSMÓPOLIS;1;0;46420;35839;33672;789;0;0;33672;35839;1378
63592;COSMORAMA;1;0;7127;5583;5404;75;0;0;5404;5583;104
63614;COTIA;1;0;185153;149520;141781;3285;0;0;141781;149520;4454
63630;CRAVINHOS;1;0;27315;20682;19325;523;0;0;19325;20682;834
63657;CRISTAIS PAULISTA;1;0;7453;5775;5495;103;0;0;5495;5775;177
63673;CRUZÁLIA;1;0;2013;1660;1597;28;0;0;1597;1660;35
63690;CRUZEIRO;1;1;60201;46434;43671;983;0;0;43671;46434;1780
63711;CUBATÃO;1;14;94224;74358;71072;1216;0;0;71072;74358;2070
63738;CUNHA;1;0;17420;14053;13271;357;0;0;13271;14053;425
63754;DESCALVADO;1;1;25197;19406;17905;622;0;0;17905;19406;879
63770;DIADEMA;1;3;339282;272229;256536;5467;0;0;256536;272229;10226
63797;DIVINOLÂNDIA;1;0;9523;7753;7162;225;0;0;7162;7753;366
63819;DOBRADA;1;0;6536;5171;4881;115;0;0;4881;5171;175
